arrest,prob_positive,model
0,0.04954498663463047,Logistic Regression
0,0.12504174918029598,Logistic Regression
0,0.056275438601331995,Logistic Regression
0,0.6256141673001853,Logistic Regression
0,0.11722093076877771,Logistic Regression
0,0.0382748377413169,Logistic Regression
0,0.085869061887066,Logistic Regression
0,0.03493428230450968,Logistic Regression
0,0.03702920356565831,Logistic Regression
0,0.03071494569688271,Logistic Regression
0,0.054211797407757834,Logistic Regression
0,0.05106132663431573,Logistic Regression
1,0.9573204325185649,Logistic Regression
1,0.1370239435334486,Logistic Regression
0,0.05591977173591023,Logistic Regression
0,0.03618274166455304,Logistic Regression
1,0.6283268768728545,Logistic Regression
0,0.03715355119777408,Logistic Regression
0,0.04076708212301161,Logistic Regression
0,0.2012238555194803,Logistic Regression
1,0.06616529461513532,Logistic Regression
0,0.060120301892110706,Logistic Regression
0,0.17362349374433617,Logistic Regression
0,0.04032464072088149,Logistic Regression
0,0.03300995395415518,Logistic Regression
0,0.11712631919459915,Logistic Regression
0,0.05404470872733069,Logistic Regression
0,0.04460346906761292,Logistic Regression
0,0.20765891609501663,Logistic Regression
0,0.18409467445092564,Logistic Regression
0,0.01709248139778685,Logistic Regression
0,0.17299817724670363,Logistic Regression
0,0.03363957000181206,Logistic Regression
0,0.054760221588293856,Logistic Regression
0,0.6189475418947157,Logistic Regression
0,0.08233842332782382,Logistic Regression
0,0.045237956709253346,Logistic Regression
0,0.03172646558714409,Logistic Regression
0,0.05402174249846703,Logistic Regression
0,0.17201653314158438,Logistic Regression
1,0.17295099853855234,Logistic Regression
0,0.17263836542959454,Logistic Regression
0,0.049548780503558265,Logistic Regression
0,0.11431046916707055,Logistic Regression
0,0.04058785222475636,Logistic Regression
0,0.02823210201853843,Logistic Regression
0,0.03683082619332967,Logistic Regression
0,0.18551942458783588,Logistic Regression
0,0.026451250031471307,Logistic Regression
0,0.03715909978414844,Logistic Regression
0,0.018254713942401968,Logistic Regression
0,0.08612065173036731,Logistic Regression
0,0.07548347917396614,Logistic Regression
0,0.029147237358126965,Logistic Regression
0,0.034772998077644224,Logistic Regression
0,0.05055492446845089,Logistic Regression
0,0.0316222056165133,Logistic Regression
0,0.15195090756515806,Logistic Regression
0,0.1979145021070844,Logistic Regression
0,0.040240108277547204,Logistic Regression
0,0.03546220859036475,Logistic Regression
0,0.030183099600798347,Logistic Regression
0,0.02817545737718319,Logistic Regression
1,0.054741174558829875,Logistic Regression
1,0.19808142002471885,Logistic Regression
0,0.20077043218356405,Logistic Regression
0,0.19999109339246923,Logistic Regression
0,0.1825195195239082,Logistic Regression
0,0.03773300045897021,Logistic Regression
0,0.03702531548763788,Logistic Regression
0,0.05424151411875244,Logistic Regression
0,0.062059122424310775,Logistic Regression
0,0.06493777660186129,Logistic Regression
0,0.05395413903409041,Logistic Regression
0,0.17087392520409672,Logistic Regression
0,0.12541971121493556,Logistic Regression
0,0.3687871872406413,Logistic Regression
0,0.04069638998204683,Logistic Regression
0,0.05478368889091989,Logistic Regression
0,0.19210185641010025,Logistic Regression
0,0.12669179131643094,Logistic Regression
0,0.8371968100569498,Logistic Regression
1,0.35240488234300404,Logistic Regression
0,0.19240550645907384,Logistic Regression
0,0.05440828474607573,Logistic Regression
0,0.03920566857074581,Logistic Regression
0,0.03530470789781992,Logistic Regression
0,0.03032676589080263,Logistic Regression
0,0.08866339678024449,Logistic Regression
0,0.3709017487298103,Logistic Regression
0,0.30855135065142203,Logistic Regression
0,0.020689260809327314,Logistic Regression
0,0.0371382051653647,Logistic Regression
0,0.1984745226966108,Logistic Regression
0,0.08359200679840695,Logistic Regression
0,0.17305823993520464,Logistic Regression
0,0.07662851279071126,Logistic Regression
0,0.5123073656679233,Logistic Regression
0,0.5302368999432745,Logistic Regression
0,0.622832869772131,Logistic Regression
0,0.04891296886566221,Logistic Regression
0,0.23915378421382616,Logistic Regression
0,0.12252079585355935,Logistic Regression
0,0.033106145431819556,Logistic Regression
0,0.02672455074795599,Logistic Regression
0,0.3908620147747671,Logistic Regression
0,0.17282918385212587,Logistic Regression
0,0.1986650741151127,Logistic Regression
0,0.035780740125278654,Logistic Regression
1,0.8339907369594043,Logistic Regression
0,0.15227333522607134,Logistic Regression
0,0.050679515848679246,Logistic Regression
0,0.6102800367721583,Logistic Regression
0,0.032032545451562755,Logistic Regression
0,0.03541187749236985,Logistic Regression
0,0.1632442708918468,Logistic Regression
0,0.0627720977773073,Logistic Regression
0,0.036374869504465,Logistic Regression
0,0.3190355728898093,Logistic Regression
0,0.041506784587997614,Logistic Regression
0,0.03868993934275344,Logistic Regression
0,0.022877336453276165,Logistic Regression
0,0.18241067075363937,Logistic Regression
0,0.22065566663608105,Logistic Regression
0,0.18740200484131952,Logistic Regression
0,0.05077666318486507,Logistic Regression
0,0.2119440249711919,Logistic Regression
0,0.10239490956471797,Logistic Regression
0,0.06445155816207915,Logistic Regression
0,0.19808766492227403,Logistic Regression
0,0.09049618774761015,Logistic Regression
0,0.02615988391035662,Logistic Regression
0,0.0855611045046265,Logistic Regression
0,0.18504176162073616,Logistic Regression
0,0.21960018852271967,Logistic Regression
0,0.09916808736779303,Logistic Regression
0,0.03095308104084482,Logistic Regression
0,0.03297705117893002,Logistic Regression
0,0.0642738288370942,Logistic Regression
0,0.06162631241840433,Logistic Regression
0,0.16668292084775205,Logistic Regression
0,0.07918536734694681,Logistic Regression
0,0.2280207917768986,Logistic Regression
0,0.056284771145114876,Logistic Regression
0,0.18205651122755984,Logistic Regression
0,0.03646345941887552,Logistic Regression
0,0.0800932103461709,Logistic Regression
0,0.039930369924400466,Logistic Regression
0,0.35106451218857426,Logistic Regression
0,0.03872221953103372,Logistic Regression
0,0.0783196587446009,Logistic Regression
0,0.3683425178786104,Logistic Regression
0,0.1530453029316049,Logistic Regression
0,0.009139373568332831,Logistic Regression
0,0.13409562864182778,Logistic Regression
0,0.39375588022201424,Logistic Regression
1,0.06655582939507765,Logistic Regression
0,0.052403264313192865,Logistic Regression
0,0.0766804501672177,Logistic Regression
1,0.27403624305309604,Logistic Regression
0,0.013979987004076766,Logistic Regression
0,0.17298889380671678,Logistic Regression
0,0.053769482372630795,Logistic Regression
0,0.10507924452709994,Logistic Regression
0,0.17956577568378862,Logistic Regression
0,0.08582634350966456,Logistic Regression
0,0.05321622649419555,Logistic Regression
0,0.09148038158045735,Logistic Regression
0,0.19781744751360142,Logistic Regression
0,0.1326023179790934,Logistic Regression
0,0.12227738120142695,Logistic Regression
0,0.1948018582916915,Logistic Regression
0,0.1486306303168986,Logistic Regression
0,0.054390744589607354,Logistic Regression
0,0.030003863568458078,Logistic Regression
0,0.1981976276949884,Logistic Regression
0,0.03464278486141936,Logistic Regression
0,0.05058284327420948,Logistic Regression
0,0.04216972204310654,Logistic Regression
0,0.1991550018852346,Logistic Regression
0,0.04685330634267071,Logistic Regression
0,0.030504522789961408,Logistic Regression
0,0.23053016343393784,Logistic Regression
0,0.17327041163742407,Logistic Regression
0,0.141846166086389,Logistic Regression
0,0.03630384737683534,Logistic Regression
1,0.9779333243399774,Logistic Regression
0,0.24827117356847717,Logistic Regression
0,0.1982571106740556,Logistic Regression
0,0.055376532076669704,Logistic Regression
0,0.0619154852349999,Logistic Regression
0,0.14665606938129783,Logistic Regression
0,0.2495412613888215,Logistic Regression
1,0.6240081317755852,Logistic Regression
0,0.08440245894008513,Logistic Regression
1,0.05292850551750772,Logistic Regression
0,0.0391644629827711,Logistic Regression
0,0.2836022934374385,Logistic Regression
0,0.05012587388744694,Logistic Regression
0,0.02892050825507364,Logistic Regression
0,0.053512365272271545,Logistic Regression
0,0.0611422413064171,Logistic Regression
0,0.07418744177146075,Logistic Regression
0,0.13389167283570347,Logistic Regression
0,0.06421205664342156,Logistic Regression
0,0.11520374290375246,Logistic Regression
0,0.20529936531087167,Logistic Regression
1,0.16795694246134119,Logistic Regression
0,0.03223730013650239,Logistic Regression
0,0.0789549524568266,Logistic Regression
0,0.06965979775753683,Logistic Regression
0,0.032696316246377144,Logistic Regression
0,0.015433102897378426,Logistic Regression
0,0.39492489143146037,Logistic Regression
1,0.14702499320280404,Logistic Regression
0,0.42426647812206386,Logistic Regression
0,0.05356850158869009,Logistic Regression
1,0.9803221616833098,Logistic Regression
1,0.9728914309008646,Logistic Regression
0,0.05623588078722508,Logistic Regression
1,0.8314852530928246,Logistic Regression
0,0.2184498319894631,Logistic Regression
0,0.1257859958659765,Logistic Regression
0,0.19041395697673769,Logistic Regression
0,0.05389057770025485,Logistic Regression
0,0.04106125773928837,Logistic Regression
0,0.3655031090321773,Logistic Regression
0,0.09349885424574456,Logistic Regression
0,0.034300933972955416,Logistic Regression
0,0.03454506483774489,Logistic Regression
0,0.08054123395927437,Logistic Regression
0,0.3450592489021712,Logistic Regression
0,0.05471040801558924,Logistic Regression
1,0.08558230036640879,Logistic Regression
0,0.42566157241582925,Logistic Regression
0,0.07037512470612839,Logistic Regression
0,0.19644402664177651,Logistic Regression
0,0.6231848779424414,Logistic Regression
0,0.186008650829106,Logistic Regression
1,0.8344856244095675,Logistic Regression
0,0.03744943019584501,Logistic Regression
0,0.05103121289592483,Logistic Regression
0,0.05026031079397342,Logistic Regression
0,0.6272389498693813,Logistic Regression
0,0.054296720548528965,Logistic Regression
1,0.7810849244881936,Logistic Regression
1,0.21853849014779292,Logistic Regression
0,0.17112134029851478,Logistic Regression
0,0.04164039291753807,Logistic Regression
0,0.8230123012293984,Logistic Regression
0,0.07274709760219444,Logistic Regression
0,0.08250797544043631,Logistic Regression
0,0.15120824681165945,Logistic Regression
0,0.6141220591507023,Logistic Regression
0,0.026798519785492303,Logistic Regression
0,0.05527932597314544,Logistic Regression
0,0.053988700135251144,Logistic Regression
0,0.04878778834760644,Logistic Regression
0,0.12583971414040263,Logistic Regression
0,0.06350002249402797,Logistic Regression
0,0.14776498155461604,Logistic Regression
0,0.6208163552069312,Logistic Regression
1,0.7496919886651677,Logistic Regression
0,0.04142419226559535,Logistic Regression
0,0.22229326689486395,Logistic Regression
0,0.05867193618830768,Logistic Regression
0,0.1994379191504908,Logistic Regression
0,0.034513929309799574,Logistic Regression
0,0.3972446066973705,Logistic Regression
0,0.18112294943328489,Logistic Regression
0,0.3702780022716482,Logistic Regression
0,0.1315473296710432,Logistic Regression
0,0.09461883541339089,Logistic Regression
0,0.18259431165557327,Logistic Regression
0,0.031108075623717757,Logistic Regression
0,0.0384158398650839,Logistic Regression
0,0.049484670500247296,Logistic Regression
0,0.01535673053365183,Logistic Regression
0,0.05368846289310725,Logistic Regression
0,0.03309124840127564,Logistic Regression
0,0.032176457282944826,Logistic Regression
0,0.054614759077630026,Logistic Regression
0,0.036694490109116296,Logistic Regression
0,0.03594599163506729,Logistic Regression
0,0.27844318303324656,Logistic Regression
0,0.5751484567638762,Logistic Regression
0,0.17330296353421037,Logistic Regression
0,0.05079779684749397,Logistic Regression
0,0.031622590489275404,Logistic Regression
0,0.1812224151410171,Logistic Regression
0,0.19269428825002954,Logistic Regression
1,0.0846831659821159,Logistic Regression
0,0.012729855349512098,Logistic Regression
0,0.3189494702236262,Logistic Regression
0,0.04708092479988857,Logistic Regression
0,0.03327282682782906,Logistic Regression
0,0.17169800930015344,Logistic Regression
1,0.08554638279014826,Logistic Regression
0,0.09005995707396708,Logistic Regression
0,0.6202140577063182,Logistic Regression
0,0.05249304228966989,Logistic Regression
0,0.3211236971785102,Logistic Regression
0,0.041267060214895346,Logistic Regression
0,0.0542200301225223,Logistic Regression
0,0.03331170005746431,Logistic Regression
0,0.054309948548718734,Logistic Regression
0,0.027389182697161063,Logistic Regression
0,0.05459235929070383,Logistic Regression
0,0.06234560634070618,Logistic Regression
0,0.10682357301509537,Logistic Regression
0,0.04101554391920492,Logistic Regression
0,0.06397882655622433,Logistic Regression
0,0.05291004375757302,Logistic Regression
0,0.022190846483078785,Logistic Regression
1,0.07946370022590044,Logistic Regression
0,0.08590955329551375,Logistic Regression
0,0.022450387950144535,Logistic Regression
1,0.6565666556504681,Logistic Regression
0,0.22074931529237185,Logistic Regression
1,0.8317763257435328,Logistic Regression
0,0.13017586663918224,Logistic Regression
0,0.03657542154036564,Logistic Regression
1,0.1952863137677412,Logistic Regression
1,0.17335023266101646,Logistic Regression
0,0.05165901975794973,Logistic Regression
0,0.2587551861206424,Logistic Regression
0,0.032866252627299586,Logistic Regression
0,0.13293822921351128,Logistic Regression
0,0.12410171214284094,Logistic Regression
0,0.039490907948201204,Logistic Regression
0,0.04562750997892229,Logistic Regression
0,0.07347094762859774,Logistic Regression
0,0.061446531966542595,Logistic Regression
0,0.041048323482399396,Logistic Regression
0,0.19514192278579878,Logistic Regression
0,0.2520647188114623,Logistic Regression
0,0.03980607155160221,Logistic Regression
0,0.06396681426400985,Logistic Regression
0,0.016542283223607512,Logistic Regression
0,0.044024054218407715,Logistic Regression
0,0.036433203423270055,Logistic Regression
0,0.040588934642433516,Logistic Regression
0,0.05402525388101709,Logistic Regression
0,0.22163977813183,Logistic Regression
0,0.10775271461581704,Logistic Regression
0,0.149405721079926,Logistic Regression
0,0.23126389876626285,Logistic Regression
0,0.15517754745651968,Logistic Regression
0,0.04952742946492161,Logistic Regression
0,0.03305600601461134,Logistic Regression
0,0.36903051215170446,Logistic Regression
0,0.06365130898115179,Logistic Regression
0,0.4372793558079551,Logistic Regression
1,0.6163383338602648,Logistic Regression
0,0.1980041276044714,Logistic Regression
1,0.29427204680411423,Logistic Regression
0,0.15730383745118326,Logistic Regression
0,0.23876124791170772,Logistic Regression
1,0.8831467524888845,Logistic Regression
0,0.18103643243839385,Logistic Regression
0,0.20229634513692119,Logistic Regression
0,0.045688358632709924,Logistic Regression
0,0.030545790718388033,Logistic Regression
0,0.04040107953350791,Logistic Regression
0,0.040197437190783836,Logistic Regression
0,0.2888942820229531,Logistic Regression
0,0.03390922640923799,Logistic Regression
0,0.08652633795296083,Logistic Regression
0,0.03685359224600604,Logistic Regression
0,0.04059909192131006,Logistic Regression
0,0.23035633447777026,Logistic Regression
0,0.025955847475711447,Logistic Regression
0,0.19860729923916676,Logistic Regression
1,0.7075821143162726,Logistic Regression
1,0.10278111890300412,Logistic Regression
0,0.1796912460906741,Logistic Regression
0,0.08657399845349234,Logistic Regression
0,0.03679212988123848,Logistic Regression
0,0.06861413001118444,Logistic Regression
0,0.36562237463211256,Logistic Regression
0,0.008433237289962925,Logistic Regression
0,0.1767691921034742,Logistic Regression
0,0.17016043504619027,Logistic Regression
0,0.21636780970881586,Logistic Regression
0,0.03789998721822119,Logistic Regression
0,0.014664513908548171,Logistic Regression
0,0.04250557793471266,Logistic Regression
0,0.6221641675983411,Logistic Regression
0,0.03159276034603675,Logistic Regression
0,0.18047316018089132,Logistic Regression
0,0.18569131437818753,Logistic Regression
0,0.18043120189032535,Logistic Regression
0,0.036597214530945776,Logistic Regression
0,0.07511185795721387,Logistic Regression
0,0.2551753793773156,Logistic Regression
0,0.05463120126213561,Logistic Regression
0,0.03937059750071836,Logistic Regression
0,0.053724424194787734,Logistic Regression
0,0.07919328089284938,Logistic Regression
1,0.27459523280729703,Logistic Regression
0,0.20313133070732836,Logistic Regression
0,0.18234588714559286,Logistic Regression
0,0.08853606821691984,Logistic Regression
0,0.0609895772285276,Logistic Regression
1,0.7497052726111908,Logistic Regression
0,0.1333179301859997,Logistic Regression
0,0.8265751390701113,Logistic Regression
0,0.1189692798494204,Logistic Regression
0,0.05758952558772423,Logistic Regression
0,0.07782051683769087,Logistic Regression
0,0.03432994252292798,Logistic Regression
0,0.01891541994233048,Logistic Regression
0,0.20462640475648486,Logistic Regression
0,0.19973967327421271,Logistic Regression
0,0.016524010610759476,Logistic Regression
1,0.2552222391650125,Logistic Regression
0,0.3589000720071416,Logistic Regression
0,0.05688936269883027,Logistic Regression
0,0.20013211729709124,Logistic Regression
0,0.08758433610068539,Logistic Regression
0,0.15196979914968312,Logistic Regression
0,0.35297960110336846,Logistic Regression
0,0.028416669332122835,Logistic Regression
0,0.0673975609138261,Logistic Regression
0,0.22289974964457937,Logistic Regression
1,0.965203227978777,Logistic Regression
0,0.0844884231756089,Logistic Regression
0,0.21968864845728164,Logistic Regression
0,0.23602276137686518,Logistic Regression
0,0.07618153727487098,Logistic Regression
0,0.26341358846217067,Logistic Regression
0,0.030048506928378682,Logistic Regression
1,0.6273789585889606,Logistic Regression
0,0.023448962160015463,Logistic Regression
0,0.04583067963930365,Logistic Regression
0,0.6258652478000214,Logistic Regression
1,0.832879377627567,Logistic Regression
0,0.06840215397924088,Logistic Regression
1,0.8330297596677194,Logistic Regression
0,0.05141425880924333,Logistic Regression
0,0.04462506285064849,Logistic Regression
0,0.004700751333493236,Logistic Regression
0,0.0373916776510147,Logistic Regression
0,0.03679398178677462,Logistic Regression
0,0.39716817126816106,Logistic Regression
0,0.0550465213291319,Logistic Regression
0,0.03055895207532755,Logistic Regression
0,0.31593524372657156,Logistic Regression
1,0.2019292468617564,Logistic Regression
0,0.05487789608152005,Logistic Regression
0,0.036587955553501694,Logistic Regression
0,0.0364333725695235,Logistic Regression
0,0.014775979279723739,Logistic Regression
0,0.08859036246042107,Logistic Regression
0,0.0485116290362364,Logistic Regression
0,0.2198914439447619,Logistic Regression
0,0.033942589712918636,Logistic Regression
1,0.976349722550419,Logistic Regression
0,0.014695501935810928,Logistic Regression
0,0.034982716661600466,Logistic Regression
0,0.01627210301588078,Logistic Regression
1,0.3686317600886124,Logistic Regression
0,0.14625290271840818,Logistic Regression
0,0.16338301185963,Logistic Regression
1,0.8872798461779887,Logistic Regression
0,0.017066859917500232,Logistic Regression
0,0.015230896852552966,Logistic Regression
0,0.07334465730488449,Logistic Regression
0,0.054484840260832335,Logistic Regression
0,0.030218082077926867,Logistic Regression
0,0.026248820446703403,Logistic Regression
0,0.2215939348485585,Logistic Regression
0,0.19677065006421002,Logistic Regression
0,0.05418933283794514,Logistic Regression
0,0.1611031775362206,Logistic Regression
0,0.044970698734122294,Logistic Regression
0,0.03703333097886674,Logistic Regression
0,0.20279938729027158,Logistic Regression
0,0.12340210818598563,Logistic Regression
0,0.043435214112029,Logistic Regression
0,0.03232659371010316,Logistic Regression
0,0.030769561128395684,Logistic Regression
0,0.03460459264812932,Logistic Regression
0,0.12757115255992713,Logistic Regression
0,0.040300723825706486,Logistic Regression
0,0.3730965270414147,Logistic Regression
0,0.1983318587793541,Logistic Regression
0,0.05398692373505487,Logistic Regression
1,0.37599850592847883,Logistic Regression
0,0.03282957539542841,Logistic Regression
0,0.054664961069004314,Logistic Regression
0,0.03982037157005236,Logistic Regression
0,0.15456460840780406,Logistic Regression
0,0.059496394286141174,Logistic Regression
0,0.05894243670887833,Logistic Regression
0,0.36188880736843276,Logistic Regression
0,0.2246935254825837,Logistic Regression
0,0.052453921663167646,Logistic Regression
0,0.09529480014933134,Logistic Regression
0,0.21806455427599236,Logistic Regression
0,0.19808062023937,Logistic Regression
0,0.8651574299019925,Logistic Regression
1,0.8810089607441982,Logistic Regression
1,0.6174742711845747,Logistic Regression
1,0.8324194529106899,Logistic Regression
0,0.03334973272929387,Logistic Regression
1,0.19977452044816457,Logistic Regression
0,0.05398070010559075,Logistic Regression
1,0.8312169059375217,Logistic Regression
0,0.14053589193424865,Logistic Regression
0,0.19683103819520464,Logistic Regression
1,0.8325845993742848,Logistic Regression
0,0.11837281851907189,Logistic Regression
1,0.863284524713807,Logistic Regression
1,0.19251119284487805,Logistic Regression
0,0.03666714746937827,Logistic Regression
0,0.16687755412263072,Logistic Regression
0,0.04857845278865358,Logistic Regression
0,0.057595197831144196,Logistic Regression
0,0.10575808598617031,Logistic Regression
0,0.30745115976522186,Logistic Regression
0,0.04922728660213116,Logistic Regression
0,0.10902182080476253,Logistic Regression
0,0.07331468702973631,Logistic Regression
1,0.18567536882933555,Logistic Regression
0,0.052385944020522435,Logistic Regression
0,0.06324312346357941,Logistic Regression
0,0.12426712891889569,Logistic Regression
1,0.616415783002233,Logistic Regression
0,0.1945023289082528,Logistic Regression
0,0.04624917689600716,Logistic Regression
0,0.1907853841332876,Logistic Regression
0,0.12836975822195185,Logistic Regression
0,0.06248578670325122,Logistic Regression
0,0.03988270943598016,Logistic Regression
0,0.17890413172280828,Logistic Regression
0,0.19841110441497067,Logistic Regression
0,0.19658569747137467,Logistic Regression
0,0.19955185682758114,Logistic Regression
1,0.8871047447063304,Logistic Regression
1,0.871296724470441,Logistic Regression
0,0.0689680892779122,Logistic Regression
0,0.03666611804453623,Logistic Regression
0,0.14994473698220967,Logistic Regression
0,0.07321429611543684,Logistic Regression
0,0.0408071047031634,Logistic Regression
0,0.041170695784672695,Logistic Regression
0,0.06931620382816872,Logistic Regression
0,0.19878934388877711,Logistic Regression
0,0.04599702653711624,Logistic Regression
0,0.16805603489789744,Logistic Regression
0,0.14983776449458863,Logistic Regression
0,0.06357611437898769,Logistic Regression
0,0.036808883739611775,Logistic Regression
0,0.19841095423926813,Logistic Regression
1,0.17113013337477567,Logistic Regression
0,0.12389633823159263,Logistic Regression
0,0.17323176554393516,Logistic Regression
0,0.1924028042140964,Logistic Regression
0,0.22540187669005485,Logistic Regression
0,0.25658276581465245,Logistic Regression
1,0.8326941772534832,Logistic Regression
0,0.05585087301549008,Logistic Regression
0,0.02977120038453962,Logistic Regression
1,0.19980172204383606,Logistic Regression
0,0.016506667127677233,Logistic Regression
0,0.023762851167451582,Logistic Regression
0,0.0539608321919367,Logistic Regression
0,0.1273769717980422,Logistic Regression
0,0.04089025938247093,Logistic Regression
0,0.6218582703905938,Logistic Regression
0,0.6171777721931777,Logistic Regression
0,0.02593563722852399,Logistic Regression
0,0.015548213055416094,Logistic Regression
0,0.36092112283114364,Logistic Regression
1,0.6639114991807714,Logistic Regression
0,0.06451983892860202,Logistic Regression
1,0.572655947996977,Logistic Regression
0,0.15557764985431577,Logistic Regression
1,0.22271547251274737,Logistic Regression
0,0.04470647746302825,Logistic Regression
0,0.05489446001260845,Logistic Regression
0,0.0373668869174304,Logistic Regression
0,0.5239393902894758,Logistic Regression
1,0.973338573730626,Logistic Regression
0,0.1994928826822877,Logistic Regression
0,0.16441374594677594,Logistic Regression
0,0.02569549291848361,Logistic Regression
0,0.03037083106083993,Logistic Regression
0,0.05041019066842212,Logistic Regression
1,0.9729631173866725,Logistic Regression
0,0.036924744764072925,Logistic Regression
0,0.35883274254019826,Logistic Regression
0,0.19843967130351658,Logistic Regression
1,0.16562909601008668,Logistic Regression
1,0.17109907587506168,Logistic Regression
0,0.1486612113129726,Logistic Regression
0,0.04072090242690252,Logistic Regression
0,0.02733518375966204,Logistic Regression
0,0.11602733241688812,Logistic Regression
0,0.13641364672649614,Logistic Regression
0,0.19490501457693565,Logistic Regression
0,0.04669328649326954,Logistic Regression
0,0.0632790096832494,Logistic Regression
0,0.18322065963329048,Logistic Regression
0,0.03905149254230078,Logistic Regression
0,0.04031993017763824,Logistic Regression
0,0.21868239381819454,Logistic Regression
0,0.028126712317415592,Logistic Regression
0,0.0410723316358369,Logistic Regression
0,0.02645543382376192,Logistic Regression
0,0.5720509773950548,Logistic Regression
0,0.03725565287436272,Logistic Regression
0,0.028344338818680148,Logistic Regression
